@relation 'Gestures-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Max_AcclZ_wrist numeric
@attribute Max_GyroY_wrist numeric
@attribute Min_AcclX_wrist numeric
@attribute Min_AcclY_wrist numeric
@attribute Min_GyroX_wrist numeric
@attribute Min_GyroY_wrist numeric
@attribute Mean_AcclZ_wrist numeric
@attribute Var_AcclX_wrist numeric
@attribute Var_AcclZ_wrist numeric
@attribute Var_GyroY_wrist numeric
@attribute Var_GyroZ_wrist numeric
@attribute Median_GyroY_wrist numeric
@attribute Min_AcclZ_bicep numeric
@attribute Mean_AcclX_bicep numeric
@attribute Var_AcclX_bicep numeric
@attribute Var_AcclZ_bicep numeric
@attribute Var_GyroX_bicep numeric
@attribute Var_GyroZ_bicep numeric
@attribute result {putt,iron,drive}

@data
20.790001,4.27,-12.4,-3.56,-2.82,-1.4,3.270417,7.453753,28.915125,1.546007,1.85538,2.1,-29.6,-4.467083,43.882687,51.067566,5.18849,6.36125,drive
0.52,0.7,-0.41,-0.61,-0.29,-0.23,0.046441,0.020737,0.019104,0.032177,0.008341,0.34,-0.84,-0.010847,0.048521,0.083095,0.0099,0,putt
0.26,0.3,-0.34,-0.39,-0.23,-0.16,0.013248,0.011521,0.008529,0.007161,0.002533,-0.01,-0.68,0.040342,0.018324,0.034569,0.006187,0,putt
0.25,0.45,-0.35,-0.35,-0.31,-0.29,-0.053725,0.019715,0.020043,0.038702,0.009056,0,-0.58,-0.050588,0.037722,0.120975,0.01899,0,putt
16,3.61,-10.98,-4.49,-3.5,-1.58,1.078125,3.341953,10.445498,0.469299,1.544217,1.81,-28.35,-1.954197,23.115154,25.137613,2.487923,2.315312,iron
11.13,2.35,-9.86,-4.72,-3.04,-0.49,0.641947,1.742887,3.501783,0.198454,0.579674,0.01,-17.459999,-1.019204,9.788808,8.488375,1.31588,1.23187,iron
14.99,3.47,-7.94,-5.69,-3.5,-0.83,1.007478,2.169467,8.562582,0.26904,0.920385,-0,-25.940001,-1.737218,20.828878,19.853889,2.690214,2.651941,iron
16.049999,3.28,-7.78,-5.63,-3.47,-1.17,1.203451,2.160161,10.451414,0.373702,0.870582,-0,-26.690001,-2.083628,24.768873,24.171247,2.266341,2.428884,iron
1.64,0.61,-0.59,-0.81,-0.39,-0.31,0.020168,0.020749,0.104847,0.024539,0.008504,-0.01,-1.19,0.052017,0.030602,0.105144,0.020207,0,putt
0.46,0.27,-0.36,-0.29,-0.17,-0.19,0.038644,0.014291,0.010181,0.007645,0.002507,0.13,-0.7,0.035593,0.019378,0.036739,0.004404,0,putt
11.64,1.95,-9.56,-5.02,-3.19,-0.39,0.756316,2.253726,5.075028,0.14525,0.628778,0.965,-17.450001,-1.021667,9.631555,13.460252,1.331234,1.494944,iron
32.32,4.27,-15.2,-5.5,-3.62,-2.22,1.722213,8.622529,27.108843,0.973215,2.142064,-0,-34.950001,-2.563452,53.152386,45.430058,3.562569,4.127233,drive
