@relation Gestures

@attribute Max_AcclX_wrist numeric
@attribute Max_AcclY_wrist numeric
@attribute Max_AcclZ_wrist numeric
@attribute Max_GyroX_wrist numeric
@attribute Max_GyroY_wrist numeric
@attribute Max_GyroZ_wrist numeric
@attribute Min_AcclX_wrist numeric
@attribute Min_AcclY_wrist numeric
@attribute Min_AcclZ_wrist numeric
@attribute Min_GyroX_wrist numeric
@attribute Min_GyroY_wrist numeric
@attribute Min_GyroZ_wrist numeric
@attribute Mean_AcclX_wrist numeric
@attribute Mean_AcclY_wrist numeric
@attribute Mean_AcclZ_wrist numeric
@attribute Mean_GyroX_wrist numeric
@attribute Mean_GyroY_wrist numeric
@attribute Mean_GyroZ_wrist numeric
@attribute Var_AcclX_wrist numeric
@attribute Var_AcclY_wrist numeric
@attribute Var_AcclZ_wrist numeric
@attribute Var_GyroX_wrist numeric
@attribute Var_GyroY_wrist numeric
@attribute Var_GyroZ_wrist numeric
@attribute ZeroCrossCount_AcclX_wrist numeric
@attribute ZeroCrossCount_AcclY_wrist numeric
@attribute ZeroCrossCount_AcclZ_wrist numeric
@attribute ZeroCrossCount_GyroX_wrist numeric
@attribute ZeroCrossCount_GyroY_wrist numeric
@attribute ZeroCrossCount_GyroZ_wrist numeric
@attribute Median_AcclX_wrist numeric
@attribute Median_AcclY_wrist numeric
@attribute Median_AcclZ_wrist numeric
@attribute Median_GyroX_wrist numeric
@attribute Median_GyroY_wrist numeric
@attribute Median_GyroZ_wrist numeric
@attribute Max_AcclX_bicep numeric
@attribute Max_AcclY_bicep numeric
@attribute Max_AcclZ_bicep numeric
@attribute Max_GyroX_bicep numeric
@attribute Max_GyroY_bicep numeric
@attribute Max_GyroZ_bicep numeric
@attribute Min_AcclX_bicep numeric
@attribute Min_AcclY_bicep numeric
@attribute Min_AcclZ_bicep numeric
@attribute Min_GyroX_bicep numeric
@attribute Min_GyroY_bicep numeric
@attribute Min_GyroZ_bicep numeric
@attribute Mean_AcclX_bicep numeric
@attribute Mean_AcclY_bicep numeric
@attribute Mean_AcclZ_bicep numeric
@attribute Mean_GyroX_bicep numeric
@attribute Mean_GyroY_bicep numeric
@attribute Mean_GyroZ_bicep numeric
@attribute Var_AcclX_bicep numeric
@attribute Var_AcclY_bicep numeric
@attribute Var_AcclZ_bicep numeric
@attribute Var_GyroX_bicep numeric
@attribute Var_Gyro_bicep numeric
@attribute Var_GyroZ_bicep numeric
@attribute ZeroCrossCount_AcclX_bicep numeric
@attribute ZeroCrossCount_AcclY_bicep numeric
@attribute ZeroCrossCount_AcclZ_bicep numeric
@attribute ZeroCrossCount_GyroX_bicep numeric
@attribute ZeroCrossCount_GyroY_bicep numeric
@attribute ZeroCrossCount_GyroZ_bicep numeric
@attribute Median_AcclX_bicep numeric
@attribute Median_AcclY_bicep numeric
@attribute Median_AcclZ_bicep numeric
@attribute Median_GyroX_bicep numeric
@attribute Median_GyroY_bicep numeric
@attribute Median_GyroZ_bicep numeric
@attribute result {putt,iron,drive}

@data
2.04,10.27,20.790001,9.89,4.27,4.5,-12.4,-3.56,-0.48,-2.82,-1.4,-1.72,-0.811042,0.246042,3.270417,0.657708,0.191042,0.223958,7.453753,7.47533,28.915125,12.175918,1.546007,1.85538,7,8,6,5,7,8,0.93,5.005,10.945001,4.915,2.1,2.24,2.28,2.22,2.35,1.94,7.65,4,-23.75,-14.75,-29.6,-9.8,-2.11,-8,-4.467083,-2.389792,-3.793958,-0.581667,0.622292,-0.020833,43.882687,12.69618,51.067566,5.18849,6.724884,6.36125,3,8,4,9,3,3,-0.045,0.705,0.605,0.965,3.805,2,drive
0.55,1.17,0.52,0.55,0.7,0.22,-0.41,-0.61,-0.48,-0.29,-0.23,-0.3,-0.011186,0.002288,0.046441,-0.002627,0.011441,0.003051,0.020737,0.032038,0.019104,0.026744,0.032177,0.008341,40,46,41,12,16,15,0.265,0.59,0.275,0.265,0.34,0.115,0.47,0.61,1.09,0.21,0.81,-0,-1.38,-0.71,-0.84,-0.37,-0.3,-0,-0.010847,-0.022797,-0.06,0,0.007458,0,0.048521,0.037305,0.083095,0.0099,0.048302,0,29,47,29,22,13,0,0.24,0.305,0.525,0.11,0.395,0,putt
0.28,0.25,0.26,0.36,0.3,0.15,-0.34,-0.39,-0.27,-0.23,-0.16,-0.12,-0.030256,-0.022137,0.013248,0.001111,-0.005385,0.010256,0.011521,0.011474,0.008529,0.01201,0.007161,0.002533,51,37,55,19,11,15,-0.03,-0.03,0.01,-0,-0.01,-0,0.49,0.63,0.53,0.15,0.39,-0,-0.42,-0.36,-0.68,-0.22,-0.23,-0,0.040342,-0.00906,-0.065556,-0.007436,-0.010171,0,0.018324,0.016104,0.034569,0.006187,0.012972,0,42,41,19,29,9,0,0.03,-0.02,-0.06,0,-0.01,-0,putt
0.23,0.35,0.25,0.48,0.45,0.13,-0.35,-0.35,-0.32,-0.31,-0.29,-0.23,-0.057843,-0.028824,-0.053725,0.076667,0.041176,-0.03549,0.019715,0.02487,0.020043,0.046976,0.038702,0.009056,14,11,4,4,5,4,-0.04,-0.04,-0.08,0.02,0,-0.01,0.32,0.28,0.67,0.18,0.57,0,-0.45,-0.54,-0.58,-0.31,-0.37,0,-0.050588,-0.051569,0.030588,-0.059412,0.064118,0,0.037722,0.030911,0.120975,0.01899,0.063011,0,12,13,6,10,3,0,-0.04,-0.03,0.06,-0.02,-0,0,putt
1.68,9.28,16,9.16,3.61,6.51,-10.98,-4.49,-1.25,-3.5,-1.58,-2.05,-0.588571,0.255804,1.078125,-0.075982,0.074196,0.106786,3.341953,3.132252,10.445498,5.372989,0.469299,1.544217,24,28,29,18,26,16,0.77,4.695,8.015,4.465,1.81,3.25,2.49,8.36,3.71,3.25,7.67,4,-24.959999,-9.83,-28.35,-9.2,-3.43,-8,-1.954197,-0.667411,-1.865089,0.010357,-0.068214,-0.017857,23.115154,5.519202,25.137613,2.487923,4.140695,2.315312,18,43,25,22,16,3,1.105,4.11,1.765,1.69,3.715,2,iron
1.37,4.95,11.13,6.59,2.35,3.5,-9.86,-4.72,-0.96,-3.04,-0.49,-1.06,-0.409381,0.05708,0.641947,-0.196637,0.113451,0.207699,1.742887,1.918617,3.501783,3.002928,0.198454,0.579674,26,33,31,20,14,20,-0.18,0.05,0.09,-0.35,0.01,0.02,2.84,9.31,3.05,2.69,5.89,2,-17.35,-9.97,-17.459999,-8.02,-2.74,-5,-1.019204,-0.165929,-1.183363,0.247788,-0.076372,-0.238938,9.788808,4.636564,8.488375,1.31588,2.814485,1.23187,12,36,9,22,18,4,0.09,0.19,-0.51,0.27,-0.28,-0,iron
5.96,8,14.99,10.35,3.47,3.3,-7.94,-5.69,-2.61,-3.5,-0.83,-3.44,0.069652,-0.120522,1.007478,-0.054261,0.041217,0.112696,2.169467,2.846084,8.562582,5.772146,0.26904,0.920385,28,24,14,22,24,22,0.01,-0.1,0.12,-0.09,-0,0.01,2.43,14.83,3.21,3.35,7.38,5,-22,-11.58,-25.940001,-8.57,-2.88,-7,-1.737218,-0.053565,-1.888609,0.059652,-0.054956,-0.095652,20.828878,8.507614,19.853889,2.690214,3.915628,2.651941,28,38,22,28,12,4,-0.12,-0.05,-0.51,0.12,-0.08,0,iron
4.68,7.74,16.049999,9.39,3.28,3.85,-7.78,-5.63,-1.76,-3.47,-1.17,-3.24,-0.32354,0.165221,1.203451,0.029204,0.096018,0.075575,2.160161,2.687413,10.451414,5.461723,0.373702,0.870582,23,27,37,18,21,22,-0.2,0.02,0.08,-0.3,-0,-0.01,1.71,5.96,3.47,2.85,8.05,5,-24.58,-8.63,-26.690001,-9.59,-3.18,-7,-2.083628,-0.399912,-1.816018,0.080973,0.057788,-0.017699,24.768873,4.284881,24.171247,2.266341,4.18346,2.428884,28,29,27,20,16,4,-0.23,-0.14,-0.08,0.27,-0.07,0,iron
0.44,1.3,1.64,0.46,0.61,0.24,-0.59,-0.81,-1.2,-0.39,-0.31,-0.31,-0.032353,0.015378,0.020168,-0.000084,-0.001429,0.002017,0.020749,0.048219,0.104847,0.031047,0.024539,0.008504,38,38,41,14,16,11,-0.03,0,0,-0.02,-0.01,0.01,0.73,0.93,0.74,0.22,0.73,-0,-0.47,-0.68,-1.19,-0.64,-0.33,-0,0.052017,0.003361,-0.128992,-0.004034,-0.004958,0,0.030602,0.049358,0.105144,0.020207,0.038447,0,26,41,10,24,11,0,0.07,0.01,-0.11,0.02,-0.01,-0,putt
0.28,0.32,0.46,0.3,0.27,0.12,-0.36,-0.29,-0.23,-0.17,-0.19,-0.14,-0.036864,0.000593,0.038644,-0.014746,-0.004746,0.006017,0.014291,0.012396,0.010181,0.008892,0.007645,0.002507,34,32,48,26,20,21,0.12,0.165,0.245,0.145,0.13,0.065,0.43,1.17,0.54,0.24,0.33,0,-0.35,-0.66,-0.7,-0.22,-0.22,0,0.035593,0.012119,-0.076186,0.00822,-0.013898,0,0.019378,0.039949,0.036739,0.004404,0.012354,0,42,47,26,28,14,0,0.23,0.585,0.23,0.125,0.16,0,putt
